Name,Enrollment No.,Gender,Contact,City,PEM,DM,OS,COA,OOPJ
nisha,180280116100,f,747-094-9614,Gandhinagar,68,62,67,67,67
manish,180280116101,m,174-612-4067,Vadodara,57,22,35,42,49
pramila,180280116102,f,161-786-0160,Ahmedabad,38,54,55,30,20
rekha,180280116103,f,767-737-0527,Ahmedabad,54,53,25,23,68
muskan,180280116104,f,390-149-7969,Amreli,61,63,61,67,65
shri  aladeen,180280116105,m,652-337-9095,Vadodara,47,35,53,37,37
mohini,180280116106,f,986-358-2979,Vadodara,50,28,55,34,45
manju,180280116107,f,287-063-0964,Vadodara,25,57,64,49,34
wasim,180280116108,m,437-037-0103,Rajkot,52,68,66,67,30
ramvir,180280116109,m,708-658-2304,Amreli,46,66,66,31,39
deepak,180280116110,m,639-849-8391,Amreli,58,45,38,15,42
yogesh chandra joshi,180280116111,m,945-713-8436,Gandhinagar,63,68,25,38,59
tinku,180280116112,m,140-028-0915,Bhavnagar,54,17,58,67,62
rupa,180280116113,f,218-684-0915,Vadodara,28,17,68,54,61
jyoti,180280116114,f,133-006-9488,Gandhinagar,18,16,42,51,67
sonam,180280116115,f,262-338-9455,Bhuj,27,31,27,69,18
muskan,180280116116,f,790-208-4078,Amreli,69,20,18,38,25
shabbo devi,180280116117,f,721-859-3260,Rajkot,22,30,30,56,70
sarita,180280116118,f,145-067-7573,Vadodara,44,31,45,34,38
dhana devi,180280116119,f,474-200-3926,Bhuj,43,22,16,67,49
naresh kumar,180280116120,m,597-615-6063,Bhavnagar,61,63,45,54,38
suman,180280116121,f,569-679-9382,Bhuj,40,42,64,56,70
lehru lal,180280116122,m,999-471-7186,Bhavnagar,59,23,19,63,44
shri ratan lal,180280116123,m,745-881-0801,Gandhinagar,46,43,59,21,15
saroj,180280116124,f,283-683-1352,Bhuj,41,50,51,15,32
sanpat,180280116125,m,236-858-0068,Rajkot,70,63,67,65,62
saiesta,180280116126,f,890-525-5303,Bhuj,23,57,59,58,25
saahin,180280116127,f,721-607-9884,Ahmedabad,66,67,60,67,62
lokesh kumar,180280116128,m,929-884-7410,Ahmedabad,35,33,16,21,23
mohd zaid,180280116129,m,599-597-7044,Bhuj,45,48,19,34,68
meena,180280116130,f,578-656-4829,Surat,22,35,19,56,44
barakha,180280116131,f,499-743-4474,Gandhinagar,67,66,60,69,64
jaipal,180280116132,m,132-316-9891,Bhuj,60,68,70,68,62
sh. bharu singh,180280116133,m,447-601-5935,Rajkot,19,17,16,24,16
shyam pratap singh ,180280116134,m,711-196-2833,Rajkot,70,66,63,64,66
vijendar,180280116135,m,657-451-0073,Amreli,69,63,65,63,67
neha,180280116136,f,559-201-2405,Bhuj,21,38,32,44,52
mukesh,180280116137,m,860-169-4366,Amreli,30,39,57,38,40
nishant,180280116138,m,378-713-4361,Amreli,43,58,58,69,33
afrin,180280116139,f,742-541-2935,Ahmedabad,18,23,53,59,60
"-	radha",180280116140,f,398-811-1192,Surat,67,65,61,62,65
santi bai,180280116141,f,221-012-5548,Vadodara,68,62,69,60,60
anju,180280116142,f,674-497-1301,Rajkot,60,60,62,68,64
mubashir ali,180280116143,m,181-169-2191,Ahmedabad,62,61,61,70,63
rinku,180280116144,f,536-631-2808,Vadodara,45,48,53,31,18
sukhavinder singh,180280116145,m,389-750-5163,Bhuj,70,61,63,65,67
deepika kumari,180280116146,f,745-588-9513,Amreli,17,42,46,45,25
priya,180280116147,f,635-456-3191,Surat,64,68,63,67,62
ravi swarnkar,180280116148,m,331-234-6032,Amreli,70,68,61,65,67
shabreen fatima,180280116149,f,638-368-0931,Rajkot,29,66,40,68,22
harun rasheed,180280116150,m,144-497-8781,Ahmedabad,70,52,43,40,70
pooja,180280116151,f,679-205-1088,Gandhinagar,44,21,45,49,47
mukesh kumar,180280116152,m,185-785-0970,Surat,60,67,66,63,70
rinki,180280116153,f,429-432-2793,Rajkot,18,15,15,57,27
smt punam,180280116154,f,391-101-4624,Bhuj,27,48,54,46,25
mandeep kumar,180280116155,m,788-674-3282,Bhavnagar,25,40,39,18,31
rajesh,180280116156,m,985-683-4728,Amreli,64,64,62,64,64
rambha,180280116157,f,770-575-6699,Bhavnagar,48,54,50,31,26
vivek,180280116158,m,420-444-8089,Bhavnagar,70,47,40,51,34
anju,180280116159,f,848-115-0091,Ahmedabad,40,27,54,63,17
